date,tavg,tmin,tmax,prcp
2003-01-01,25.6,20,31.2,0
2003-01-02,25.4,21,29.4,0
2003-01-03,26.2,21,,0
2003-01-04,25.9,21.5,30,0
2003-01-05,26.1,,30.4,0
2003-01-06,25.8,21.8,30.4,0
2003-01-07,25.1,20.6,,0
2003-01-08,24.8,20.7,29.7,0
2003-01-09,25.6,20.7,28.2,0
2003-01-10,25.3,20.9,29.4,0
2003-01-11,25.5,20.1,,0
2003-01-12,25.3,20.2,,0
2003-01-13,,,,
2003-01-14,24.8,20.3,29.1,0
2003-01-15,25.3,20.5,29.1,0
2003-01-16,24.8,20.4,28.7,0
2003-01-17,24.4,19.5,29.2,0
2003-01-18,25.4,20,29.3,0
2003-01-19,25.4,23.3,28.6,1
2003-01-20,24.7,21.4,29.8,0
2003-01-21,24.3,,30.2,0
2003-01-22,24.2,19.6,30,0
2003-01-23,24.8,19.5,30.1,0
2003-01-24,25.4,20,31.3,0
2003-01-25,25.3,18.7,30.9,0
2003-01-26,25.8,21,30.5,0
2003-01-27,24.9,20.8,30.6,0
2003-01-28,25.2,20.7,,0
2003-01-29,24.8,20.4,30.7,0
2003-01-30,23.9,19.6,30.3,0
2003-01-31,26.2,19.5,31.7,0
2003-02-01,25.8,,31.6,0
2003-02-02,27.1,22.7,30.4,0
2003-02-03,26.9,23.2,31,0
2003-02-04,26.5,22.1,31.5,0
2003-02-05,27.3,23.2,31.3,0
2003-02-06,27.1,23.5,31.1,0
2003-02-07,26.7,,32,0
2003-02-08,25.9,21,31.4,0
2003-02-09,26.5,21.2,31.2,0
2003-02-10,26.4,21.4,31.3,0
2003-02-11,26.3,21.6,31.4,0
2003-02-12,25.9,22.7,30.7,0
2003-02-13,26.3,22.8,32.5,0
2003-02-14,27.4,23.4,32.4,0
2003-02-15,27.2,23.5,32,0
2003-02-16,28.3,23.6,,0
2003-02-17,27.2,23.4,31.9,0
2003-02-18,27,22.6,32.7,0
2003-02-19,25.6,22,31.8,0
2003-02-20,26.7,21.3,32.4,0
2003-02-21,25.6,,31.5,0
2003-02-22,25.8,20.6,31.4,0
2003-02-23,25.2,22.1,,0
